taxon_id,created_at,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
3978,36,36,36,36,36,36,36,36,0,36,0,0,36,0,0,36,0,0,0,0,36,0,36,0,0,0,0
4204,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
4205,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
4208,242,242,242,242,242,242,242,242,0,242,0,0,242,0,0,242,0,0,0,0,242,0,242,0,0,0,0
4209,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
4224,2,2,2,2,2,2,2,2,0,2,0,0,2,0,0,2,0,0,0,0,2,0,2,0,0,0,0
4237,16,16,16,16,16,16,16,16,0,16,0,0,16,0,0,16,0,0,0,0,16,0,16,0,0,0,0
4270,176,176,176,176,176,176,176,176,0,176,0,0,176,0,0,176,0,0,0,0,176,0,176,0,0,0,0
4342,10,5,10,10,10,10,10,10,0,10,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0
4343,54,47,54,54,54,54,54,54,0,54,0,0,54,0,0,54,54,0,0,0,54,0,0,0,0,0,0
4349,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0
4356,60,60,60,60,60,60,60,60,0,60,0,0,60,0,0,60,60,0,0,0,60,0,60,0,0,0,0
4368,30,30,30,30,30,30,30,30,0,30,0,0,30,0,0,30,30,0,0,0,30,0,30,0,0,0,0
4381,6,6,6,6,6,6,6,6,0,6,0,0,6,0,0,6,6,0,0,0,6,0,6,0,0,0,0
4389,23,23,23,23,23,23,23,23,0,23,0,0,23,0,0,23,23,0,0,0,23,0,23,0,0,0,0
4424,2,1,2,0,2,2,2,2,0,2,0,0,2,0,0,2,2,0,0,0,2,0,0,0,0,0,0
4450,56,56,56,56,56,56,56,56,0,56,0,0,56,0,0,56,56,0,0,0,56,0,56,0,0,0,0
4512,9,9,9,9,9,9,9,9,0,9,0,0,9,0,0,9,9,0,0,0,9,0,9,0,0,0,0
4514,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0
4623,11,11,11,11,11,11,11,11,0,11,0,0,11,0,0,11,0,0,0,0,11,0,11,0,0,0,0
4627,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
4641,7,7,7,7,7,7,7,7,0,7,0,0,7,0,0,7,0,0,0,0,7,0,7,0,0,0,0
4643,8,8,8,8,8,8,8,8,0,8,0,0,8,0,0,8,0,0,0,0,8,0,8,0,0,0,0
4647,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
4672,2,2,2,2,2,2,2,2,0,2,0,0,2,0,0,2,0,0,0,0,2,0,2,0,0,0,0
4733,683,683,683,683,683,683,683,683,0,683,0,0,683,0,0,683,0,0,0,0,683,0,683,0,0,0,0
4736,22,22,22,22,22,22,22,22,0,22,0,0,22,0,0,22,0,0,0,0,22,0,22,0,0,0,0
4801,8,8,8,8,8,8,8,8,0,8,0,0,8,0,0,8,0,0,0,0,8,0,8,0,0,0,0
4811,22,22,22,22,22,22,22,22,0,22,0,0,22,0,0,22,0,0,0,0,22,0,22,0,0,0,0
4843,5,5,5,5,5,5,5,5,0,5,0,0,5,0,0,5,0,0,0,0,5,0,5,0,0,0,0
4857,137,137,137,137,137,137,137,137,0,137,0,0,137,0,0,137,0,0,0,0,137,0,137,0,0,0,0
4889,6,6,6,6,6,6,6,6,0,6,0,0,6,0,0,6,0,0,0,0,6,0,6,0,0,0,0
4892,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
4950,2,2,2,2,2,2,2,2,0,2,0,0,2,0,0,2,2,0,0,0,2,0,0,0,0,0,0
4954,137,137,137,137,137,137,137,137,0,137,0,0,137,0,0,137,137,0,0,0,137,0,137,0,0,0,0
5033,14,14,14,14,14,14,14,14,0,14,0,0,14,0,0,14,14,0,0,0,14,0,14,0,0,0,0
5067,10,10,10,10,10,10,10,10,0,10,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0
5068,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5085,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5106,59,59,59,59,59,59,59,59,0,59,0,0,59,0,0,59,0,0,0,0,59,0,59,0,0,0,0
5108,7,7,7,7,7,7,7,7,0,7,0,0,7,0,0,7,0,0,0,0,7,0,7,0,0,0,0
5163,2,2,2,2,2,2,2,2,0,2,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0
5167,18,18,18,18,18,18,18,18,0,18,0,0,18,0,0,18,0,0,0,0,18,0,18,0,0,0,0
5173,95,95,95,95,95,95,95,95,0,95,0,0,95,0,0,95,0,0,0,0,95,0,95,0,0,0,0
5178,2,2,2,2,2,2,2,2,0,2,0,0,2,0,0,2,0,0,0,0,2,0,2,0,0,0,0
5179,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5200,14,14,14,14,14,14,14,14,0,14,0,0,14,0,0,14,0,0,0,0,14,0,14,0,0,0,0
5265,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5267,6,6,6,6,6,6,6,6,0,6,0,0,6,0,0,6,0,0,0,0,6,0,6,0,0,0,0
5268,5,5,5,5,5,5,5,5,0,5,0,0,5,0,0,5,0,0,0,0,5,0,5,0,0,0,0
5275,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
5309,65,65,65,65,65,65,65,65,0,65,0,0,65,0,0,65,0,0,0,0,65,0,65,0,0,0,0
5325,19,18,19,19,19,19,19,19,0,19,0,0,19,0,0,19,0,0,0,0,19,0,19,0,0,0,0
6544,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6638,33,32,33,33,33,33,33,33,0,33,0,0,33,0,0,33,0,0,0,0,33,0,33,0,0,0,0
6701,6,6,6,6,6,6,6,6,0,6,0,0,6,0,0,6,0,0,0,0,6,0,0,0,0,0,0
6888,4,4,4,4,4,4,4,4,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6912,11,10,11,11,11,11,11,11,0,11,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0
6913,8,6,8,8,8,8,8,8,0,8,0,0,8,0,0,8,0,0,0,0,8,0,0,0,0,0,0
6914,13,13,13,13,13,13,13,13,0,13,0,0,13,0,0,13,0,0,0,0,13,0,13,0,0,0,0
6916,93,93,93,93,93,93,93,93,0,93,0,0,93,0,0,93,0,0,0,0,93,0,93,0,0,0,0
6917,2,2,2,2,2,2,2,2,0,2,0,0,2,0,0,2,0,0,0,0,2,0,2,0,0,0,0
6921,607,605,607,607,607,607,607,607,0,607,0,0,607,0,0,607,0,0,0,0,607,0,607,0,0,0,0
6922,4,3,4,0,4,4,4,4,0,4,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0
6930,1083,1082,1083,1083,1083,1083,1083,1083,0,1083,0,0,1083,0,0,1083,0,0,0,0,1083,0,1083,0,0,0,0
6933,18,18,18,18,18,18,18,18,0,18,0,0,18,0,0,18,0,0,0,0,18,0,18,0,0,0,0
6937,24,24,24,24,24,24,24,24,0,24,0,0,24,0,0,24,0,0,0,0,24,0,24,0,0,0,0
6990,185,185,185,185,185,185,185,185,0,185,0,0,185,0,0,185,0,0,0,0,185,0,185,0,0,0,0
6996,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
7004,298,298,298,298,298,298,298,298,0,298,0,0,298,0,0,298,0,0,0,0,298,0,298,0,0,0,0
7006,13,12,13,13,13,13,13,13,0,13,0,0,13,0,0,13,0,0,0,0,13,0,0,0,0,0,0
7007,3,3,3,3,3,3,3,3,0,3,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,0,0
7009,13,13,13,13,13,13,13,13,0,13,0,0,13,0,0,13,0,0,0,0,13,0,13,0,0,0,0
7013,2,2,2,2,2,2,2,2,0,2,0,0,2,0,0,2,0,0,0,0,2,0,2,0,0,0,0
7018,30,30,30,30,30,30,30,30,0,30,0,0,30,0,0,30,0,0,0,0,30,0,30,0,0,0,0
7019,44,43,44,44,44,44,44,44,0,44,0,0,44,0,0,44,0,0,0,0,44,0,44,0,0,0,0
7045,18,18,18,18,18,18,18,18,0,18,0,0,18,0,0,18,0,0,0,0,18,0,18,0,0,0,0
7046,38,38,38,38,38,38,38,38,0,38,0,0,38,0,0,38,0,0,0,0,38,0,38,0,0,0,0
7047,6,6,6,6,6,6,6,6,0,6,0,0,6,0,0,6,0,0,0,0,6,0,6,0,0,0,0
7067,38,38,38,38,38,38,38,38,0,38,0,0,38,0,0,38,0,0,0,0,38,0,38,0,0,0,0
7087,7,7,7,7,7,7,7,7,0,7,0,0,7,0,0,7,0,0,0,0,7,0,7,0,0,0,0
7089,13,13,13,13,13,13,13,13,0,13,0,0,13,0,0,13,0,0,0,0,13,0,13,0,0,0,0
7101,13,13,13,13,13,13,13,13,0,13,0,0,13,0,0,13,0,0,0,0,13,0,13,0,0,0,0
7102,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
7106,4,4,4,4,4,4,4,4,0,4,0,0,4,0,0,4,0,0,0,0,4,0,4,0,0,0,0
7107,5,5,5,5,5,5,5,5,0,5,0,0,5,0,0,5,0,0,0,0,5,0,5,0,0,0,0
7122,4,4,4,4,4,4,4,4,0,4,0,0,4,0,0,4,0,0,0,0,4,0,4,0,0,0,0
7170,18,18,18,18,18,18,18,18,0,18,0,0,18,0,0,18,0,0,0,0,18,0,18,0,0,0,0
7192,16,16,16,16,16,16,16,16,0,16,0,0,16,0,0,16,0,0,0,0,16,0,16,0,0,0,0
7251,84,63,84,84,84,84,84,84,0,84,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7278,83,83,83,83,83,83,83,83,0,83,0,0,83,0,0,83,0,0,0,0,83,0,83,0,0,0,0
7347,63,63,63,63,63,63,63,63,0,63,0,0,63,0,0,63,0,0,0,0,63,0,63,0,0,0,0
7363,30,30,30,30,30,30,30,30,0,30,0,0,30,0,0,30,0,0,0,0,30,0,30,0,0,0,0
7429,45,44,45,45,45,45,45,45,0,45,0,0,45,0,0,45,0,0,0,0,45,0,45,0,0,0,0
7449,2,2,2,0,2,2,2,2,0,2,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0
7450,90,90,90,90,90,90,90,90,0,90,0,0,90,0,0,90,0,0,0,0,90,0,90,0,0,0,0
7647,6,6,6,6,6,6,6,6,0,6,0,0,6,0,0,6,0,0,0,0,6,0,6,0,0,0,0
7823,4,2,4,4,4,4,4,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
7998,14,14,14,14,14,14,14,14,0,14,0,0,14,0,0,14,0,0,0,0,14,0,0,0,0,0,0
8000,280,280,280,280,280,280,280,280,0,280,0,0,280,0,0,280,0,0,0,0,280,0,280,0,0,0,0
8010,117,115,117,117,117,117,117,117,0,117,0,0,117,0,0,117,0,0,0,0,117,0,117,0,0,0,0
8029,347,346,347,347,347,347,347,347,0,347,0,0,347,0,0,347,0,0,0,0,347,0,347,0,0,0,0
8088,344,344,344,344,344,344,344,344,0,344,0,0,344,0,0,344,0,0,0,0,344,0,344,0,0,0,0
9195,248,248,248,248,248,248,248,248,0,248,0,0,248,0,0,248,0,0,0,0,248,0,248,0,0,0,0
9196,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
9201,38,38,38,38,38,38,38,38,0,38,0,0,38,0,0,38,0,0,0,0,38,0,38,0,0,0,0
9236,26,26,26,26,26,26,26,26,0,26,0,0,26,0,0,26,0,0,0,0,26,0,26,0,0,0,0
9398,128,128,128,128,128,128,128,128,0,128,0,0,128,0,0,128,0,0,0,0,128,0,128,0,0,0,0
9462,187,187,187,187,187,187,187,187,0,187,0,0,187,0,0,187,0,0,0,0,187,0,187,0,0,0,0
9639,19,19,19,19,19,19,19,19,0,19,0,0,19,0,0,19,0,0,0,0,19,0,19,0,0,0,0
9801,100,100,100,100,100,100,100,100,0,100,0,0,100,0,0,100,0,0,0,0,100,0,100,0,0,0,0
10069,21,21,21,21,21,21,21,21,0,21,0,0,21,0,0,21,0,0,0,0,21,0,21,0,0,0,0
10070,472,472,472,472,472,472,472,472,0,472,0,0,472,0,0,472,0,0,0,0,472,0,472,0,0,0,0
10410,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
10411,17,17,17,17,17,17,17,17,0,17,0,0,17,0,0,17,0,0,0,0,17,0,17,0,0,0,0
10420,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
11853,2,2,2,2,2,2,2,2,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
11901,169,169,169,169,169,169,169,169,0,169,0,0,169,0,0,169,0,0,0,0,169,0,169,0,0,0,0
11941,18,18,18,18,18,18,18,18,0,18,0,0,18,0,0,18,0,0,0,0,18,0,18,0,0,0,0
12038,102,102,102,102,102,102,102,102,0,102,0,0,102,0,0,102,0,0,0,0,102,0,102,0,0,0,0
12704,2,2,2,2,2,2,2,2,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
12705,10,10,10,10,10,10,10,10,0,10,0,0,10,0,0,10,0,0,0,0,10,0,0,0,0,0,0
12707,379,377,379,379,379,379,379,379,0,379,0,0,379,0,0,379,0,0,0,0,379,0,379,0,0,0,0
12716,437,437,437,437,437,437,437,437,0,437,0,0,437,0,0,437,0,0,0,0,437,0,437,0,0,0,0
12735,25,25,25,25,25,25,25,25,0,25,0,0,25,0,0,25,0,0,0,0,25,0,25,0,0,0,0
12748,162,160,162,162,162,162,162,162,0,162,0,0,162,0,0,162,0,0,0,0,162,0,162,0,0,0,0
12749,16,16,16,16,16,16,16,16,0,16,0,0,16,0,0,16,0,0,0,0,16,0,16,0,0,0,0
12822,27,27,27,27,27,27,27,27,0,27,0,0,27,0,0,27,0,0,0,0,27,0,27,0,0,0,0
12830,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
12908,85,85,85,85,85,85,85,85,0,85,0,0,85,0,0,85,0,0,0,0,85,0,85,0,0,0,0
12971,107,107,107,107,107,107,107,107,0,107,0,0,107,0,0,107,0,0,0,0,107,0,107,0,0,0,0
12989,4,4,4,4,4,4,4,4,0,4,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0
12992,102,101,102,102,102,102,102,102,0,102,0,0,102,0,0,102,0,0,0,0,102,0,102,0,0,0,0
13000,98,98,98,98,98,98,98,98,0,98,0,0,98,0,0,98,0,0,0,0,98,0,98,0,0,0,0
13075,37,37,37,37,37,37,37,37,0,37,0,0,37,0,0,37,0,0,0,0,37,0,37,0,0,0,0
13079,2,2,2,2,2,2,2,2,0,2,0,0,2,0,0,2,0,0,0,0,2,0,2,0,0,0,0
13094,169,169,169,169,169,169,169,169,0,169,0,0,169,0,0,169,0,0,0,0,169,0,169,0,0,0,0
13113,10,10,10,10,10,10,10,10,0,10,0,0,10,0,0,10,0,0,0,0,10,0,10,0,0,0,0
13133,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0
13547,5,5,5,5,5,5,5,5,0,5,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0
13548,2,1,2,0,2,2,2,2,0,2,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0
13676,12,12,12,12,12,12,12,12,0,12,0,0,12,0,0,12,0,0,0,0,12,0,12,0,0,0,0
13685,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13687,4,4,4,4,4,4,4,4,0,4,0,0,4,0,0,4,0,0,0,0,4,0,4,0,0,0,0
13688,2,2,2,2,2,2,2,2,0,2,0,0,2,0,0,2,0,0,0,0,2,0,2,0,0,0,0
13695,493,492,493,493,493,493,493,493,0,493,0,0,493,0,0,493,0,0,0,0,493,0,493,0,0,0,0
13706,6,6,6,6,6,6,6,6,0,6,0,0,6,0,0,6,0,0,0,0,6,0,0,0,0,0,0
